"Freq [GHz]","dB(St(1,1)) []"
2.76,-0.168846679924661
2.78,-0.171793475429187
2.8,-0.174779346934011
2.82,-0.177935038471532
2.84,-0.181363826090482
2.86,-0.185189699673625
2.88,-0.189709583354798
2.9,-0.195189910892774
2.92,-0.201899756959031
2.94,-0.210140580220127
2.96,-0.220247989600798
2.98,-0.232594892456829
3,-0.24759835698217
3.02,-0.265729975440427
3.04,-0.287529646765764
3.06,-0.31362285256609
3.08,-0.344741624084497
3.1,-0.381749511693377
3.12,-0.425670963659487
3.14,-0.477725571147449
3.16,-0.53936760612994
3.18,-0.612331123523398
3.2,-0.698680563509108
3.22,-0.800866209431063
3.24,-0.92178296616145
3.26,-1.06482967969096
3.28,-1.2339646423054
3.3,-1.433751175349
3.32,-1.6693856334861
3.34,-1.9466995228232
3.36,-2.27212867748796
3.38,-2.65264674953766
3.4,-3.09566845400781
3.42,-3.60893980135801
3.44,-4.20044574878599
3.46,-4.87837566130201
3.48,-5.65118632228998
3.5,-6.52777949606682
3.52,-7.51774419446864
3.54,-8.63144893563727
3.56,-9.87935945812009
3.58,-11.2689004166442
3.6,-12.7944615831645
3.62,-14.4099762618231
3.64,-15.9664517266346
3.66,-17.1299745817141
3.68,-17.4696747653457
3.7,-16.8844043675896
3.72,-15.7349990907728
3.74,-14.4175971414784
3.76,-13.1385486782563
3.78,-11.9685714313144
3.8,-10.9198066979471
3.82,-9.9843556230438
3.84,-9.14925275054872
3.86,-8.40162112378072
3.88,-7.73016632978831
3.9,-7.12538460567837
3.92,-6.57936406435606
3.94,-6.08549629711769
3.96,-5.63820609336362
3.98,-5.2327292065383
4,-4.86494005000388
4.02,-4.53122213444856
4.04,-4.22837217813732
4.06,-3.95352953125659
4.08,-3.70412404867147
4.1,-3.47783710588539
4.12,-3.27257182005501
4.14,-3.08642963861685
4.16,-2.91769130239842
4.18,-2.7648008161868
4.2,-2.62635151372262
4.22,-2.50107362577865
4.24,-2.38782298169578
4.26,-2.28557062390731
4.28,-2.19339320935377
4.3,-2.11046412981749
4.32,-2.03604531514865
4.34,-1.96947969910444
4.36,-1.91018433348659
4.38,-1.85764413670381
4.4,-1.81140626129214
4.42,-1.77107506136169
4.44,-1.73630764077238
