"Freq [GHz]","dB(St(1,1)) []"
8.82,-9.60152560064292
8.84,-9.23950532959589
8.86,-8.90637823229526
8.88,-8.6009103968672
8.9,-8.32184682669134
8.92,-8.06794872676503
8.94,-7.83801602732165
8.96,-7.63089990660043
8.98,-7.44550837533554
9,-7.28080684027597
9.02,-7.13581477088378
9.04,-7.00959899949893
9.06,-6.901263658574
9.08,-6.80993616618007
9.1,-6.73474794735264
9.12,-6.67480818318376
9.14,-6.62917143976103
9.16,-6.59681245779004
9.18,-6.57664280120858
9.2,-6.56757748459836
9.22,-6.56853545755828
9.24,-6.57828288793342
9.26,-6.59528598313419
9.28,-6.61770139638589
9.3,-6.64342049688488
9.32,-6.67009851706815
9.34,-6.6951765214418
9.36,-6.71591902265825
9.38,-6.72948030460249
9.4,-6.73300374450082
9.42,-6.72375192566265
9.44,-6.69925903126168
9.46,-6.65749073197082
9.48,-6.59699184963335
9.5,-6.51700033826721
9.52,-6.41750895034897
9.54,-6.29926341300708
9.56,-6.16369643741915
9.58,-6.0128076344001
9.6,-5.84900750341754
9.62,-5.6749472256374
9.64,-5.49335478402109
9.66,-5.3068931609976
9.68,-5.11804994215977
9.7,-4.92906139725359
9.72,-4.74186921332727
9.74,-4.55810498010081
9.76,-4.37909616244841
9.78,-4.20588722067834
9.8,-4.03927026079861
9.82,-3.87982067923608
9.84,-3.72793438414986
9.86,-3.58386409176208
9.88,-3.44775270529864
9.9,-3.31966166685552
9.92,-3.19959143844183
9.94,-3.08749168424126
9.96,-2.9832678868236
9.98,-2.88681892228882
10,-2.79814815362198
10.02,-2.71747821188585
10.04,-2.64521774685257
10.06,-2.58184934724158
10.08,-2.52791538614648
10.1,-2.48408960408383
10.12,-2.45125593681642
10.14,-2.43057535350062
10.16,-2.4235529457879
10.18,-2.43211836831
10.2,-2.45872943207763
10.22,-2.50650817599167
10.24,-2.57942063336657
10.26,-2.68251495008464
10.28,-2.8222372468374
10.3,-3.00685071760557
10.32,-3.24699113537275
10.34,-3.55640160906911
10.36,-3.95290212371867
10.38,-4.45966766272177
10.4,-5.10691733706996
10.42,-5.93415601488254
10.44,-6.99309964538203
10.46,-8.35092385457182
10.48,-10.0900097192611
10.5,-12.2800153237341
10.52,-14.7915123037157
10.54,-16.5802908671429
10.56,-15.9001087550886
